cell_type,3df0cb8f-4559-40ce-bcf4-4b038929fb4e,9efb4d56-8ada-4280-bb76-b5746e4335b8,3d3453a8-9260-4bd0-a4e6-a21feabc750c,8a082588-a4f5-4cf4-8a61-fb1a13582026,9121500e-1757-4024-963b-2d875e66932f,382d9830-4cd6-4c06-9c87-9a83dd01e25c,1109f6d7-0ed1-4be3-aa63-71e7da82d57e,aaa54a0c-f437-4e0e-ae39-977bebd517bf,91714b41-6550-4638-bc95-bd9bd8163f37,04a48065-ea14-4c82-82df-b7784d70193a,d06d5373-6a1b-474c-9279-10fcb29f59ba,a39ba4b3-40c6-479c-9407-01616194b057,9decb422-2c34-4d7a-bb06-9f7ecfc893e1,5b527fb2-9de2-419a-9f62-989333449f6c,4cd84adb-81dd-484f-bd75-4ded4b0bef82,5e2d5c52-596f-49bc-967c-42129abbacbf,8631ada8-2cda-42f7-927e-76a24efa128d,8999059b-74b5-4388-afdb-457c9fd24421,a79dd5b2-f97a-4b24-b762-fea1cd5238fe,2e125727-43f2-4a9d-8aa7-5d501240c883,2bb0e784-10fc-4978-b5f3-bfc197438175,9030ac3f-19d2-4173-9025-87726923621d,59ad0679-53de-4370-86ac-e3a9605f6997,68f89489-0460-4e20-b878-7c432907bafc,994570f9-404b-471c-a5c3-78e59480dd44,5324e01d-69f5-4979-903b-7644f3236ee0,cb75fb62-e6e9-4763-a97c-1a2b919adc5a,d4e6dc5c-510c-4431-935a-62105b691699,6fd76033-7c26-440c-beca-144bd18f7d58,b6e47b05-afe9-41b5-b040-7fbcc62d4720,905f2f5b-4bf9-449c-a070-5d2cce702e29,e2a25905-7c92-4e43-81c0-d09268014334,0915dde6-5839-4705-8d9b-b01a6450feb6,46c4652a-ac2b-41db-a17d-02625822027f,1ca20860-4a2e-4d34-a479-5b56facc2c0a,1463039d-7953-4216-9e8b-97f681332eff,9905b104-db34-4cc2-a6b9-bf3fcd21c9cd,020873c7-93d7-4eea-b25f-60663417d9bb,08eca7af-fea6-4691-99d9-ec626d5bb4fa,d7877cdd-a69b-4d4c-bb62-d279e18dbf88,6070db25-079c-4bfa-889d-e4e447ceea70,ab75bca7-5635-4839-a178-120a02ef575f,ef9c0189-9d4c-425c-8c21-7739fac91ee9,03ccc0be-5e48-4577-a4b3-4cd754c917e2,8d6e5037-8602-4a3f-a580-3f319aeeec8b,0eecc108-eaa0-4723-8342-ddc7f91710f9,5d84f068-72eb-44aa-ad9d-6f8eaa4a8a32,108e4f62-aa05-4297-9bc2-2fb82d687349,62a348d2-e7fd-48d0-9622-8b485da5e327,a03bda91-0936-4c67-9508-4903f84c980f,00f70d11-3b58-4517-82ec-258cced34a60,9ac00677-9ba1-4ee9-bf02-ecb04533f45d,c3916163-fdc5-4048-9ac4-bf3de91091ce,117a3e8a-4568-44a6-baee-9a5ab002042d,305bf2f6-8d2a-47af-8bc3-17460178a66c,6588314e-69e9-44dc-b7d0-0966c1833608,44047435-3e87-473a-9231-b61fb0d5045b,55fee8d3-acd5-4366-ac30-c66225debe4d,5643f725-6510-4fb3-9faa-44b3124a9ad6,fa75cad0-cab6-464d-8fee-147706c3b6e9,29f2019d-5a69-497e-a7ff-73dd35fcaa01,52bc932e-fe9b-49ff-8584-2f92e61d5871,f9e194a1-e5c1-4a1a-840b-4e0246640d09,0a770cd6-c9b1-4cc4-9e31-1f8a820c5c1f,4637f6a3-9e07-4ac4-be5a-c893a27c8fe2,cc684aee-6d8a-4074-8474-1c4a48dbc8c7,d63ffcfc-a31f-4281-ad8d-2fee7439abe4,3387cf11-ce22-4151-869d-47dd9166fcd3,44daefc1-eb50-4fad-98db-7724c1e2c201,a0a07f44-c51b-420c-92e8-65f464db0442,c392b91b-1f08-4e33-9ab7-42ec0fce3b92,417cb3fa-2125-42ce-a638-51952c81dc2b,95598eda-ba98-4c1d-951b-131e149989e1,4d845308-2bea-47bd-bf18-e0b3ebcb81a4,67d1ea12-766f-4eb9-af7e-4545975b076c,91a45dff-d6c6-4a30-b79d-475dad0a609e,d7814767-c4ec-43ce-9cb2-646941b2870c,71b6caef-331d-4331-a42b-4f83dca777d5,d08b9d87-7327-4d2c-8b10-8a3973b99209,ae15cbbe-2658-4d9a-ace3-4609df63f512,76376038-5810-476b-831f-9bb938941243,8782807a-e8ee-4469-afee-966224f6fdd4,f53c3d33-7501-46e1-8125-56fb73083b65,3e751a3d-573e-42e1-a361-6303669fb7eb,45c2cef7-58b5-4e76-abf6-8b88088c6c82,f5a438d5-ca2b-4d44-8768-97f59f5f27b4
B cell naive,0.0181822774840367,0.105306291621363,0.339322377238494,0.0933031042410172,0.128203042784821,0.103828737163314,0.0322047921432447,0.217974841196291,0.0530288671744198,0.0818960043432876,0.0149227098068176,0.106795641053953,0.0197224251339997,0.127181103809461,0.0,0.0331637826847617,0.026628215685065,0.0354392525894966,0.061223557240417,0.399035675794665,0.103753824772611,0.174317479128064,0.140687795945235,0.20238608530715,0.0229676266173946,0.0582322787806962,0.157446112146532,0.189004158086863,0.134640128486997,0.400811568348892,0.0,0.0296780854560379,0.107687705211434,0.169550384258028,0.125620942518913,0.0490154076224833,0.0445650319902271,0.374692620181686,0.163754918563836,0.0673221425423618,0.184404766553729,0.14411672916169,0.0254438068370154,0.124936241676649,0.59797180818262,0.442794585511514,0.050494629311406,0.227422354433902,0.160779437543902,0.0328361184440067,0.182082337256145,0.49976993614886,0.146376950506537,0.157666306690052,0.095113493551829,0.298426880837581,0.129935772833949,0.277099922512147,0.187790119983077,0.0,0.302045430380864,0.0389166041733819,0.116534284809857,0.0305110836976815,0.0,0.617493324405034,0.0900831051747447,0.167586392561819,0.0834220940627078,0.162610281927923,0.105718933804139,0.0939206053907847,0.0186617507978453,0.0478080607442545,0.0475694814578624,0.0122117801607854,0.0411794619950311,0.0398151382453517,0.156323932463177,0.0896418932046698,0.0823669360713332,0.0368033189184583,0.113981233904887,0.0743602485815381,0.0,0.253130985323885
B cell memory,0.0289077014381197,0.0,0.0,0.0,0.0,0.0,0.019563324730345,0.0,0.0323259477501439,0.0700675294581083,0.353621945202119,0.0,0.0870996295438257,0.0,0.0700341422851632,0.0643664240364071,0.0400468210025279,0.0355919058115602,0.0,0.0,0.0821509709139175,0.0,0.506005304286958,0.0,0.0163665612831723,0.0200869074672273,0.0,0.0,0.0,0.609333246813715,0.113422803806181,0.0508207957428748,0.195013595501728,0.0195436282868891,0.0,0.0486104839573325,0.045128452259077,0.38293720418162,0.0,0.0,0.0,0.0,0.014608799330115,0.0,0.0,0.10562870528597,0.0327160599173337,0.0,0.0,0.0213548857791604,0.205353680597833,0.0,0.0,0.0409863026526904,0.23914082049017,0.0,0.0,0.0289005609735794,0.0095737855729045,0.0672087247729966,0.0,0.0280540310578123,0.0915814610893856,0.0484910085922089,0.0699792078702108,0.0,0.089967308185502,0.0,0.0,0.0,0.0,0.0,0.0395690987878668,0.0309338781785159,0.0,0.0777389441891345,0.0,0.019851715520503,0.0,0.0,0.0,0.0361457973211946,0.0,0.0151923886087566,0.0989785719515182,0.0030970428170995
B cell plasma,0.0594105960064868,0.192608935870599,0.284662490274515,0.0904087706475208,0.280949956060577,0.137973583737538,0.046173725657714,0.374645862410314,0.514139042012166,0.190808081782977,0.311607546241997,0.0735326165051627,0.0,0.0344926401611867,0.0264385092820387,0.0303626668548788,0.0298841302357226,0.0018534473985586,0.234693873268045,1.12225225050282,0.388467075610487,0.0925605790744322,0.556481892209501,0.358502175151112,0.160827957912138,0.0049583794993194,0.0757410187336262,0.239143441881833,0.161349166798857,0.728616900696627,0.0575147059671903,0.0395045281747566,0.0809531383044597,0.0875441675835405,0.0143622078393688,0.05819506656723,0.0748180348430147,0.385422071122499,0.334033541751137,0.24300296569442,0.0688526701624897,0.180234589587756,0.138816076641319,0.0457757284371206,0.246503098843105,0.196050697382567,0.0535391984876517,0.268013000361484,0.14720395808092,0.0162181860882776,1.32025780242658,0.433762089240789,0.338508905666386,0.0855470404004521,0.524497417457895,0.917879129736795,0.107226943402276,0.115960060418177,0.611600636218927,0.056376214436242,0.126102954964212,0.211570101852716,0.126109163804523,0.0343029720877026,0.0333363026839701,0.203082760845416,0.32888655465675,0.187787488266447,0.2296304619453,0.18091573381131,0.128783369285462,0.0908627916577233,0.0984052895917582,0.162504516762326,0.167864642704999,0.0620284098409809,0.130579445118374,0.0663759133511215,0.0966413392115892,0.0398847848435405,0.138054869698495,0.375234715834216,0.207697170123018,0.0107404805409323,0.0020245748701919,0.427097459720629
T cell CD8+,0.0093451961139477,0.080852416247589,0.177103034794807,0.123734224924451,0.297277614828356,0.0166672956603383,0.0330260486995621,0.180788079006337,0.0740599064212983,0.158925814752572,0.0585900983392837,0.0373893858844823,0.0,0.196627584966305,0.0286845444668529,0.0200333905645242,0.0160977232782171,0.0059105601746839,0.0413829628582345,0.440270200816311,0.0506012074873819,0.204200667593035,0.605541016167027,0.0828446802144591,0.125648502831057,0.052398492255231,0.0843603643018732,0.0033787142611936,0.0615697474880437,0.212510849472633,0.0,0.0189188640532493,0.0906136738771364,0.290555874783898,0.260068729000145,0.101002745174022,0.0995039463251121,0.995038133331338,0.158092508146328,0.0285206483328036,0.172835043074126,0.0535196451063287,0.0233154876842794,0.0,0.161786969903433,0.181889990860912,0.0705493007180779,0.126062418590694,0.09367233768031,0.0348430435961525,0.249002773624677,0.126744932745997,0.169304935597243,0.031520229263233,0.202038020000944,0.309748194717113,0.0436806515773637,0.150632616162522,0.304537044730819,0.0304474338133516,0.0500406012102921,0.0680697833686424,0.132165290719932,0.0363638031265055,0.0019020263042055,0.166081171620202,0.29269148134486,0.0600416483554689,0.036313108105936,0.0497554413365764,0.0913091808152944,0.0674119891873049,0.0122565183130855,0.226787066048172,0.0234414995363036,0.0448847919827037,0.0,0.0315503816338059,0.0,0.279441499931818,0.18497047048333,0.142872903603782,0.0511012014003348,0.0037803715094784,0.0002807585244481,0.44679939445209
T cell CD4+ naive,0.0,0.182396948085162,0.0,0.0,0.0,0.042546918523736,0.0399867901494387,0.0,0.0,0.0,0.0310432478003219,0.0,0.0066603445281605,0.0477814714963888,0.0141283636388407,0.0138615859769241,0.0,0.0,0.0,0.0,0.0,0.0,0.089808220675603,0.0,0.0,0.0,0.0,0.0,0.0,0.199532209890592,0.0390898443219486,0.0,0.0,0.0,0.0,0.0,0.0,0.332251728286462,0.0,0.0,0.0,0.0466729370775381,0.0218649424855276,0.0,0.0,0.244213660100877,0.0,0.0,0.0915390758993269,0.0310689246372561,0.0,0.0681866846858406,0.0478723837108823,0.0,0.186700620306726,0.0,0.0,0.0625587581581327,0.0,0.0,0.0447742557203649,0.0,0.138266897174061,0.0021809724500112,0.0,0.0,0.0477748783054801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003774573466979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T cell CD4+ memory resting,0.0269850216306137,0.0205637164616983,0.428379909959993,0.1749584703047,0.393176513030842,0.0723523269256898,0.0,0.174651805813094,0.0,0.234595231249235,0.227552025200948,0.203768054641788,0.160491614428421,0.006943826872962,0.0844569720238212,0.108511989574208,0.0649036637104428,0.0305997593855015,0.081214120965764,0.591336009613967,0.0668401610615581,0.214442523870656,0.0,0.14991319020925,0.118627560594514,0.0670561969397014,0.0897782251724449,0.171713704882328,0.142871118393244,0.337663116521432,0.0566462031272401,0.09431453223201,0.218575600532113,0.0348589966779486,0.112886244042194,0.102624679522181,0.127044988264025,0.0,0.102409432327472,0.227575235150288,0.318453388150844,0.0182054565924429,0.0180328554511538,0.23266375590018,0.0463483259153058,0.388275119787545,0.0781659838122783,0.181269953720062,0.0,0.0566748824336774,0.769003943636021,0.0,0.0,0.184143520044579,0.056750927695813,0.180235115768058,0.0936268057719645,0.178164306558769,0.366686776161346,0.120504355414705,0.131945564438555,0.0534663420158876,0.132533123209648,0.0,0.0944630019061015,0.172536232662029,0.200201129281773,0.390092146712941,0.0523834098394339,0.231950188726064,0.131522666219945,0.0367602840480462,0.137318315743304,0.0225744300871293,0.0500432052377957,0.0,0.157568867886398,0.0973057408224043,0.13241712976993,0.0823870088106213,0.123856733003041,0.0396547899826261,0.193478291449729,0.106258648007827,0.231843497951056,0.0
T cell CD4+ memory activated,0.0,0.0534106692377368,0.0,0.0612278111869673,0.0,0.0129765002853263,0.0578717672893629,0.0916793679393959,0.0922882553745049,0.0,0.0,0.0,0.0,0.0244377977354132,0.120411196928329,0.0,0.0277409731239489,0.0042700171750109,0.0346381295105655,0.287958624528954,0.0929225555398924,0.0,0.172079164586448,0.0323460000518964,0.0,0.0167543210691338,0.0515795984684782,0.438068644489359,0.0084823103563594,0.0,0.0,0.0168000063449351,0.0553188515219172,0.0,0.276571725733657,0.0,0.0,0.288263698381957,0.0569344432625462,0.0393603560035323,0.0,0.0137769677532565,0.0153664113692316,0.121694733749753,0.0089835069631565,0.0543533615261966,0.0048416851387883,0.0347867800121341,0.0,0.0607999184982569,0.0413443097726044,0.0294951052263304,0.0359869671062977,0.0825999012651969,0.0883897572812467,0.0,0.0455212306492335,0.0227404985120109,0.0705632987874432,0.0,0.113429322403452,0.0152278164503784,0.0,0.0018574378745954,0.0275117576363186,0.054400283215792,0.228974348317342,0.0847466451037261,0.0,0.0012775353622214,0.126175212953195,0.11756421757537,0.0,0.0234913574706835,0.0116215470953608,0.0,0.0183670493327922,0.0097891840357579,0.106152493724642,0.0,0.0619337733678035,0.258208710347374,0.0847523364339089,0.124096918513053,0.0,0.136969706737095
T cell follicular helper,0.0317751281154053,0.0767694009773965,0.17596319294239,0.110124302364472,0.171149306868962,0.0141159767123411,0.0533574172295293,0.071783458914164,0.228215169633936,0.0446210499760266,0.0671725872527875,0.0072551184819088,0.0514556627172215,0.0592460639384712,0.0,0.0269302055189424,0.0523531240373847,0.0377369478526264,0.0567694176444794,0.409755515943362,0.13726660650846,0.12967347526305,0.398045897437186,0.0876396822429345,0.0442463487391001,0.0746003223415666,0.0594248939291996,0.429130444027904,0.0569137478366776,0.257292374755672,0.0167674521403227,0.0451153708142822,0.183524845892752,0.295727327834305,0.364754599618601,0.161987447732655,0.112790696025037,0.3761123962751,0.138027137950038,0.0773833025352258,0.0527353306695373,0.0341822748583296,0.039358865219197,0.0416006426002817,0.26469114327856,0.0398109508155278,0.0502240890024192,0.027412613133364,0.0439649927438168,0.0537829086959103,0.548117300253316,0.11422862868817,0.0648647166290778,0.0415150044886902,0.178080841752482,0.459775715022234,0.0601270829485687,0.0505821852738613,0.0667329314589204,0.0532161104515324,0.0313506454471732,0.119035863647312,0.0283760545729291,0.211870988997416,0.0225617715244341,0.255000610381068,0.140277307084718,0.0,0.0787627033141074,0.174096291125933,0.213567350050881,0.0279542825542386,0.0540731000956496,0.187673965284618,0.0644358978341696,0.132595352325224,0.0167539718337726,0.04144628944127,0.181314708925222,0.185399147849848,0.0508307555021197,0.107364539388214,0.0130603125293033,0.168996168734441,0.0639517844969558,0.20585824095217
T cell regulatory (Tregs),0.0,0.0,0.0,0.026264612862501,0.0,0.0257178347112937,0.0148651015850246,0.0,0.0,0.161439971165605,0.0758931462251073,0.0,0.03251068348933,0.0,0.0,0.0279823932538985,0.0,0.0174556774311871,0.0,0.038731008856477,0.0048389340668709,0.0308690128577357,0.154933294817987,0.0359331213802886,0.0365896847207134,0.0193138583731838,0.0444377072740108,0.0,0.033483104368646,0.0559584591242251,0.0922471406334048,0.0,0.0587591914905848,0.139019685895379,0.0,0.0,0.037936021077263,0.287584198281509,0.0449996156685107,0.0275499060138248,0.0,0.0,0.0376949674113069,0.0,0.080232170112355,0.0,0.0383633518199112,0.0613903740108007,0.0,0.0,0.0,0.0833823785100712,0.0,0.0212887210804634,0.079754916652897,0.0650151563799258,0.0,0.257120032511327,0.0,0.0023635154226394,0.0075782568413412,0.0,0.0,0.0,0.0,0.119771982796325,0.0246129857550091,0.0054091933882809,0.0024061990378801,0.0,0.0,0.0278535003558851,0.001982768428648,0.0,0.0031370323560923,0.0044524455441002,0.0239268242583817,0.0,0.0,0.0292646050866161,0.0,0.0,0.0,0.0,0.0070734856762382,0.0884654105134715
