"cell_type","X3df0cb8f.4559.40ce.bcf4.4b038929fb4e","X9efb4d56.8ada.4280.bb76.b5746e4335b8","X3d3453a8.9260.4bd0.a4e6.a21feabc750c","X8a082588.a4f5.4cf4.8a61.fb1a13582026","X9121500e.1757.4024.963b.2d875e66932f","X382d9830.4cd6.4c06.9c87.9a83dd01e25c","X1109f6d7.0ed1.4be3.aa63.71e7da82d57e","aaa54a0c.f437.4e0e.ae39.977bebd517bf","X91714b41.6550.4638.bc95.bd9bd8163f37","X04a48065.ea14.4c82.82df.b7784d70193a","d06d5373.6a1b.474c.9279.10fcb29f59ba","a39ba4b3.40c6.479c.9407.01616194b057","X9decb422.2c34.4d7a.bb06.9f7ecfc893e1","X5b527fb2.9de2.419a.9f62.989333449f6c","X4cd84adb.81dd.484f.bd75.4ded4b0bef82","X5e2d5c52.596f.49bc.967c.42129abbacbf","X8631ada8.2cda.42f7.927e.76a24efa128d","X8999059b.74b5.4388.afdb.457c9fd24421","a79dd5b2.f97a.4b24.b762.fea1cd5238fe","X2e125727.43f2.4a9d.8aa7.5d501240c883","X2bb0e784.10fc.4978.b5f3.bfc197438175","X9030ac3f.19d2.4173.9025.87726923621d","X59ad0679.53de.4370.86ac.e3a9605f6997","X68f89489.0460.4e20.b878.7c432907bafc","X994570f9.404b.471c.a5c3.78e59480dd44","X5324e01d.69f5.4979.903b.7644f3236ee0","cb75fb62.e6e9.4763.a97c.1a2b919adc5a","d4e6dc5c.510c.4431.935a.62105b691699","X6fd76033.7c26.440c.beca.144bd18f7d58","b6e47b05.afe9.41b5.b040.7fbcc62d4720","X905f2f5b.4bf9.449c.a070.5d2cce702e29","e2a25905.7c92.4e43.81c0.d09268014334","X0915dde6.5839.4705.8d9b.b01a6450feb6","X46c4652a.ac2b.41db.a17d.02625822027f","X1ca20860.4a2e.4d34.a479.5b56facc2c0a","X1463039d.7953.4216.9e8b.97f681332eff","X9905b104.db34.4cc2.a6b9.bf3fcd21c9cd","X020873c7.93d7.4eea.b25f.60663417d9bb","X08eca7af.fea6.4691.99d9.ec626d5bb4fa","d7877cdd.a69b.4d4c.bb62.d279e18dbf88","X6070db25.079c.4bfa.889d.e4e447ceea70","ab75bca7.5635.4839.a178.120a02ef575f","ef9c0189.9d4c.425c.8c21.7739fac91ee9","X03ccc0be.5e48.4577.a4b3.4cd754c917e2","X8d6e5037.8602.4a3f.a580.3f319aeeec8b","X0eecc108.eaa0.4723.8342.ddc7f91710f9","X5d84f068.72eb.44aa.ad9d.6f8eaa4a8a32","X108e4f62.aa05.4297.9bc2.2fb82d687349","X62a348d2.e7fd.48d0.9622.8b485da5e327","a03bda91.0936.4c67.9508.4903f84c980f","X00f70d11.3b58.4517.82ec.258cced34a60","X9ac00677.9ba1.4ee9.bf02.ecb04533f45d","c3916163.fdc5.4048.9ac4.bf3de91091ce","X117a3e8a.4568.44a6.baee.9a5ab002042d","X305bf2f6.8d2a.47af.8bc3.17460178a66c","X6588314e.69e9.44dc.b7d0.0966c1833608","X44047435.3e87.473a.9231.b61fb0d5045b","X55fee8d3.acd5.4366.ac30.c66225debe4d","X5643f725.6510.4fb3.9faa.44b3124a9ad6","fa75cad0.cab6.464d.8fee.147706c3b6e9","X29f2019d.5a69.497e.a7ff.73dd35fcaa01","X52bc932e.fe9b.49ff.8584.2f92e61d5871","f9e194a1.e5c1.4a1a.840b.4e0246640d09","X0a770cd6.c9b1.4cc4.9e31.1f8a820c5c1f","X4637f6a3.9e07.4ac4.be5a.c893a27c8fe2","cc684aee.6d8a.4074.8474.1c4a48dbc8c7","d63ffcfc.a31f.4281.ad8d.2fee7439abe4","X3387cf11.ce22.4151.869d.47dd9166fcd3","X44daefc1.eb50.4fad.98db.7724c1e2c201","a0a07f44.c51b.420c.92e8.65f464db0442","c392b91b.1f08.4e33.9ab7.42ec0fce3b92","X417cb3fa.2125.42ce.a638.51952c81dc2b","X95598eda.ba98.4c1d.951b.131e149989e1","X4d845308.2bea.47bd.bf18.e0b3ebcb81a4","X67d1ea12.766f.4eb9.af7e.4545975b076c","X91a45dff.d6c6.4a30.b79d.475dad0a609e","d7814767.c4ec.43ce.9cb2.646941b2870c","X71b6caef.331d.4331.a42b.4f83dca777d5","d08b9d87.7327.4d2c.8b10.8a3973b99209","ae15cbbe.2658.4d9a.ace3.4609df63f512","X76376038.5810.476b.831f.9bb938941243","X8782807a.e8ee.4469.afee.966224f6fdd4","f53c3d33.7501.46e1.8125.56fb73083b65","X3e751a3d.573e.42e1.a361.6303669fb7eb","X45c2cef7.58b5.4e76.abf6.8b88088c6c82","f5a438d5.ca2b.4d44.8768.97f59f5f27b4"
"Myeloid dendritic cell activated",2.92571789981287e-18,0.0406196210503351,0.0505388348399615,0.153313069132685,0.225830684934371,0.103464482252539,0.0584229861599853,0.20254382253756,0.0326361244599059,0.206064502885552,0.218804408482314,0.045877512787406,0.153040070624366,0.0673522227806932,0.139298291951422,0.0489926864958867,0,0,0.0509787717910208,0.251636193725355,0.10532565205663,0.072665751977801,0.296586425072329,0.0505250249015096,0.0794965586437597,0.0565090264108382,0.105087257737241,0.236917465062323,0.118771414646072,0.0695897088647844,0.0732753890721009,0.0385821274111307,0.186492754109986,0.156811131182178,0.344409048752008,0.0517522391139576,0.137143441410537,0.327501508149395,0.0901144705817219,0.188760247757173,0.019741277221514,2.09744296409872e-18,0.0515192310354074,0.0881523600856807,0.0686187455264951,0.242218296215995,0.0150837910925713,0.111743755782155,0.176626062915679,0.0602736663719788,0.169759585931582,0.082380143760769,0.0190127257339748,0.0340718160968119,0.190114759587262,0.221419269221081,0.0495265178434738,0.143049500442194,0.179321265685474,0,0.166551529174171,0.0257798015142008,0.227797132924121,0.0361212443140637,0,0.206963979946407,0.198486386726555,0.0677946896230123,0.0257732297643147,0.134338525504772,0.0804297651924997,0.071312386837728,0.0296340680770791,0.034466461263297,0.0443658991820309,0.0421633529450419,0.112696160772865,0.00366994790896854,0.177369488209716,0.156189349597259,0.0184536064876136,0.110032492163959,0.0665259208840775,0.206369095375203,0.115013363574248,0.169229694365563
"B cell",0,4.40800725102916e-20,0.0642837642582308,0.0501685768078227,0.102616455521183,0.0330990325738872,0.0175983501931653,2.69043359156449e-19,0.0263059998274505,0.0496232502525039,0.147129059183372,0.0151162186596851,0.0343222460680022,0.0282355292733892,0.00397542162923956,0.00329272616094909,0.009296536038298,0.0168939732868368,0,0.106133560666275,0.0588193691708565,0.00289754254843389,0.295185355356761,0.0139959373663746,3.17032498707655e-18,0,0.0540028750187475,0.130014871589577,0.0102799402507275,0.218628569343621,0.00784075395666923,0,0.0551359217173288,0.0931324929710926,0.0446388733566317,0.00593475304385138,0.063641099640897,0.4266558932503,0.0135973964965499,0.00113763906232389,0,0,0.0319400113458422,0.0322536595862147,0.0777838351917726,0.265937591853312,0.000106704482284444,0.0217764400864748,0.019915590151458,2.24959490562928e-19,0.112559184488886,0.00251773315899798,0.0030230350085571,0.0526927798762599,0.0366443518497013,0.0421676484144518,0.00974455609614147,1.08607349787732e-20,0.0576112336465074,3.77673430043943e-20,0.0337817202489665,0,0,0.0196288433762111,0.0539500750692764,0.194218340363089,0.132252841806911,0.0489643049962358,0,2.49220563543264e-18,0.0662020064330224,0,2.05958284886239e-19,0,0,0.0269600785726812,0.0235405276797091,5.31181473709665e-19,0.0687802490694595,0.0393812624850671,0.000513706591418263,0.00925371128679962,0,0,0.0142655841054391,0.104536379321491
"T cell CD4+ memory",0,0.00298695394569239,0,2.65634786270842e-19,0.00254212718246703,0,0,0,4.33541116155956e-20,1.3532066660872e-19,0,1.61911268084987e-21,0,3.43373527543102e-18,1.38523766734379e-18,3.08790161585002e-19,1.01753211427095e-19,0,0,0.0251076599498169,8.52021294724595e-19,0,5.1268597920377e-19,0,0,0,0,6.91551419784174e-19,0,0,0.00607476603176977,0,3.9823147543172e-23,0,0.0052213441765265,5.11274097298953e-20,1.56075432494999e-20,0.0345927347563479,7.52201899818234e-19,0,3.10373983866354e-18,0,5.4217748348656e-20,9.9600821202953e-20,0,0.00796212950610613,2.38884111247024e-19,0,3.5230301030751e-20,4.43163215579631e-20,9.50773328347199e-21,0,0,0,1.83740849015212e-18,4.94739349022849e-20,0.00093329277408404,2.00669097012853e-19,0.00332420288019601,0,8.41312604202755e-19,0.00342540614787469,2.65549584057062e-19,0,4.0667197545967e-19,2.18934369464817e-19,0,8.60249140752537e-19,0,2.26947926939257e-19,0,0,1.06762636356277e-20,0,0,1.0372629281025e-19,0,0,1.58475122197226e-19,1.83972860613751e-20,0,0,0,4.10779240294606e-18,0,0
"T cell CD4+ naive",0,0,0,2.16601315326999e-18,4.12382431346142e-18,0.00525244926767816,3.97216582776766e-20,0.00521568566632466,0,0.00124174798234832,0,2.73383057668286e-18,2.40116323889872e-19,5.35168767735586e-18,2.68653408149063e-18,0,0.0107513262458667,0,2.40077695469107e-19,0.0129856975497938,0,0.0106672941367195,0.0738106391100465,3.79605782665493e-18,0,3.25617962500569e-18,0.0253871623884938,0.0225321539533312,0,0.00403486032149511,0,2.81130132251258e-18,0.0138450837293028,0.0118444908244613,0.0473352238511814,0,0.00188700373733341,0.105676924521883,0.00168006973269184,2.61283072419524e-18,0,0,0,1.5550364954376e-18,1.36710106425544e-18,0.0332741251084485,3.20707241939667e-18,0,7.7289591122899e-18,8.60896846684523e-19,0.0264683941235995,0,0,0.0196742598925812,0,0.00060323726776538,0,0,0,0,0.00302647995984348,0,1.50665490152416e-19,3.73162846322343e-18,0,0.0248702201856189,0.0354574742483032,0.0338497901099697,8.00909008575221e-18,0.00101268909293047,0,2.27538866551973e-19,0,0.00712950667727078,3.40151584211345e-20,2.74255755417044e-19,2.33310056369629e-19,0,1.15842569686521e-18,0.0293102228288146,0,2.44171539675708e-18,0.00555402879038589,1.09239360279689e-17,3.78811941643637e-18,0.0146549911746734
"T cell CD4+ (non-regulatory)",1.68481569987548e-18,0,0,0,6.73637767871623e-19,0,7.30513992517853e-18,8.97950367022888e-18,4.44450493983336e-18,0.0118138613176793,0,5.18638664230548e-18,0,0,3.71528625530663e-18,4.19726074428861e-18,5.03759751542475e-18,3.84540159404608e-19,3.17888928640562e-18,0.0204065581560144,1.37623542787142e-17,0,0,0,5.61608042133832e-18,1.01989080488623e-17,2.20065377187276e-18,0,1.65636311777401e-17,0,2.80836914876155e-18,0,2.80142151406496e-18,0,2.03148659632498e-18,5.97073408129196e-18,1.21907985925136e-18,0.0131980424650524,2.98768155213579e-19,3.48888784667244e-18,0,5.23846835475599e-18,0,5.49663276036088e-19,0,3.06740588886154e-18,0,5.12529280661103e-18,7.36221383215507e-18,0,0,1.52160298608475e-18,4.10345208324696e-18,6.38484395171244e-18,4.44242788697797e-18,0,0,3.6564719270405e-18,0,0,3.78743187435185e-18,0,0.000530592673115198,0,0,0,8.10608213689873e-19,4.04351839385493e-20,7.39642470145439e-18,2.84243509738543e-18,0,0,1.32755223444969e-18,0,2.69392758937133e-18,5.86687437845655e-18,0,3.16008163698354e-18,8.59296491466234e-18,1.63315959958827e-18,0,3.06203199018212e-18,3.29668572377463e-19,3.94419791436593e-18,0,4.04607509905395e-18
"T cell CD4+ central memory",0.0159968116098731,7.86316299549865e-19,0,6.55330745669319e-18,0.0300157628999244,0,0,0,0.0192631022012359,0.00382288630586889,0.0129135477917333,0,0,3.56034881922093e-19,0.0267566376432167,0.0363533778008233,0.00468721111673779,0.0309469489250364,0.0285489475265606,0.0182981028641089,0,6.29791084085168e-19,0.0362596170271967,0.0124948669680509,0.0412539331481078,0.00210667571594905,9.36142978675676e-22,1.88173827815274e-18,0.04373700939146,0.0212240513302918,0.0461945311984233,0,0.030088886250385,0.0408863220048166,0.00366577155299656,3.64166971586065e-19,0.00363678344337195,0.0459370800134058,0.0131668157250622,0,4.77022767177744e-22,0.0166136067753178,1.67930745755222e-18,0.0278740661507997,0.0459278590621408,1.59784647274643e-19,0,0,1.12524672845457e-18,8.52164332321338e-18,0.0104454699225271,0.0137860734968249,7.46910443699215e-20,0.00275533317446061,0.0417399433941091,3.33994352462798e-18,0.00194046519109817,0.0326026228452995,0,0.00123249508149001,0.0068762593531229,0,0.0347202623862132,2.80443474000521e-19,0.00953856846731714,0,8.03458838929512e-19,0.00134167273862746,0,0.0316674225669303,8.70361386676353e-18,0.0241798193143168,6.6950486175501e-19,1.31913779892191e-18,0.00599084561952968,3.03593991511694e-18,0.0116652491751252,5.0918161494198e-18,1.01944805098161e-17,0.0192269432463372,0,0,1.30334103442721e-19,3.24414807759075e-18,1.23176900911335e-19,1.38685359630918e-18
"T cell CD4+ effector memory",8.4026643460005e-19,0.00765734986770437,0.103501246230754,0.0246230023391678,0.0355829222326574,1.62690462909621e-21,4.37969876138057e-18,0.00759845353685394,0.0132460933652435,0.143189029689742,2.40129609305395e-18,4.89778663702906e-18,0,0.0351068134642821,0,0.0155115517029519,1.47236039876044e-17,0.0753015606154512,1.81911691955438e-18,0.094942837123336,6.83329182247634e-19,0,0.0620181252909677,0.0144192926989966,0,4.33375927471779e-20,0,0.0103357291865947,0.0267169597006883,0.0173055428868538,0.0248982748528923,0,0.0574292563961695,0.0503487844931121,0.0695333018444554,0,0.036613920221861,0.162539623398544,0,3.22448446858923e-19,9.96096335570407e-19,0,0.0853735489159676,4.72719909446949e-20,0.00416083764185855,0,9.07771880484466e-20,0.0218942653843006,3.0286843559313e-18,2.29458826832751e-17,0.0194333778511973,0.0335982346471337,0.0357419100640016,6.15334408708243e-18,0.0926604813625077,0.0545789826073461,0.0229405157174353,0.00872636293089849,0,0,0.018309136773604,1.08536354155834e-17,0.0957548526957145,9.66551077296881e-19,0,6.45763430411356e-20,0.0446581855147413,0.025433006818024,6.74132933235634e-18,0.0398965043996757,0.0456311802547273,0.0341479864680216,0,0.00391842996894504,2.37786973829562e-18,1.26523975864235e-17,0.0699063441661401,0,0.00272696211203622,0.0585349278121054,0,0.0221648827055282,1.41914774679247e-18,5.929033699518e-19,0.0340411942922561,0.0309572650328028
"T cell CD8+ naive",0,0.0225797350759526,7.05306598033286e-20,1.56805853664846e-20,0.0187430516393972,1.72594510331646e-19,0.00689715354210494,0.0250404308431682,0.0176188379423702,0.0141519028151588,0.00730887066300069,0.000311709608611417,0,0,0.013149690966576,0.0068368067842123,0,0,0,0.00665880520565237,0.0075818150773907,0.0024695129525576,0.0115537083498084,0,0.0181058693599548,6.82817367628349e-19,0.00540133196095284,8.25579885948563e-19,0.00380412040783623,0.00902104461184526,0,1.19443266019089e-18,0,0.0249120784727302,0.0178488948953933,0,2.00704951485792e-21,0.0427311757354321,4.86567386967147e-19,0.00322252737196435,0.00809014087259005,7.11521323150846e-20,0,0,9.73358673593169e-22,0.00814405087662284,0.0060061663516108,5.10295825566344e-20,0,0,0.0180429455509711,0.00727636044572524,4.0299972706005e-20,0,0.0140770317172161,0.000959296587902489,0.00714688053163101,0.0154801206316177,0.00601268845898602,0.00494467455014194,3.95366015188372e-19,0,1.21579632721822e-20,0.00865888748846064,0.0131046049413111,8.99819529166319e-20,0.0142276519519121,0.00169239298217325,1.22671489620614e-19,1.06968547112549e-19,0.0226549576323154,0.0424485529092992,0,0.00160591264868811,0.0222158049053774,1.16255872169622e-19,3.53016331281794e-19,1.07135047258894e-18,1.51016131790388e-19,0.0171623943687472,0.00504894930825516,0.00521070200595353,0.000435032414531513,0.0105919790737645,8.88275068817208e-20,0.000776371236522127
"T cell CD8+",0,0.0106116129553891,3.13258674826026e-18,0.00735750234953324,0.0296503911431588,0,2.72203471988143e-18,0.0590349992589269,0.0221924659593807,0.0529421408800169,4.78850999329844e-18,0,1.53032080483561e-19,2.24047291859513e-18,0,2.34715315265134e-21,6.6721916064266e-18,0,3.34752510102177e-18,0.0358529110355554,0,1.19692189234448e-18,0.0798911897358829,3.01999988117841e-19,0.00374935176414154,0,0,0.00924804239988702,1.90546462542603e-18,0.0399182903779096,0,6.49634641855853e-18,0.0116731868967503,0.0366074601510735,0.0312746811816875,0.00175382580647608,0.00651140871189522,0.28191798875525,0,0,0,3.15089831782517e-19,2.08783334587343e-18,0,3.98692755297429e-20,0.0479137780507725,0.0126923802476826,3.72127766088709e-18,3.94241458512694e-18,1.19724544568724e-18,0.101818997221219,0.0111199760666908,3.84100128985839e-18,8.88745321229598e-18,1.50826112620756e-17,0.00455297745524183,0,2.05582532076488e-19,0.0150760311600705,6.22431499144168e-18,7.05455272921514e-18,6.86276045011794e-19,0.0279049977063074,1.64772894625969e-18,0,0.0255360030475067,0.0422040266056661,0.0118887038422035,3.51053879310882e-19,1.83954909816035e-18,0.0504445387782462,0.00911356542687657,4.82993548385722e-18,3.75506485432216e-20,0,5.88532188866871e-18,2.16277545041559e-20,5.744722778915e-18,2.70699171762154e-18,0.0254694382710567,0.00390387424721894,5.68057682982793e-19,1.16017897224127e-19,0,0,0.0347409022449974
"T cell CD8+ central memory",1.84166943069878e-18,0.00421114471703775,2.9767467197511e-19,0.0246069922794424,0.040967867841642,0,2.78908491905164e-17,0.0218861431382293,0.0179649476137311,0.0517208800930741,5.27186235272339e-18,4.37490939409136e-18,0,7.88552540095921e-18,0,2.78051134586679e-18,0,0,2.89478286222873e-18,0.0671359226360494,1.42415669964747e-17,2.74654078145155e-20,0.10964909808433,0,5.2036513791627e-18,0,5.46459318422482e-20,0.0126437884944527,0,0.0276389227225069,0,2.26317699923702e-17,0.02821860477339,0.0365595776676733,0.0644674695164706,3.95944472435794e-19,0.000900684911462374,0.317337709378471,3.95455655180979e-19,0,0,0,7.88878289415445e-19,0,0,0.0200993074863153,3.12155238312806e-18,0,2.40605539215265e-18,1.69595721404188e-19,0.0420704517704743,0.0176962433065328,4.76893536109746e-19,0,0.00772531581041635,0.0298155267716077,3.73907741399022e-18,0,0.0295966358234457,0,9.37325012213559e-18,2.0174271085339e-18,0.0133945645496161,0,0,0.0415915441915,0.0608162395220195,0.00858736207478392,0,2.90373923735647e-18,0.00142647422200427,0,0,0.00698257488927765,1.46487354906673e-18,6.41379813284253e-19,0,6.64065844858077e-18,1.08367711767147e-17,0.0197302486399286,5.26993528774419e-18,1.78226305711631e-18,9.75557804362605e-19,2.27639578949918e-18,2.2373624449219e-18,0.0741734048226047
"T cell CD8+ effector memory",0,1.20021633523346e-19,7.90197570594989e-18,7.47437800074908e-18,1.29582057190294e-19,1.76962248674231e-17,8.59902087410309e-18,3.52928919601175e-19,6.39386701118132e-19,1.32706796356478e-18,0,4.89509342719795e-19,0,0,3.48707066265207e-18,1.56766244316536e-17,1.39406670811784e-17,7.31949993699938e-19,0,0.0141716085535271,0,1.11602178871162e-18,2.43877960141354e-19,1.33153023840286e-17,9.91492354923167e-18,0,6.15240268906998e-18,1.84706383248805e-18,5.17702331853758e-18,8.93442104401e-19,4.99457162694712e-19,2.0652501426007e-17,3.21338357550083e-18,1.42754178604778e-18,0.0505267383657498,0,2.9817525215723e-18,0.051282100007069,0,0,0,0,0,3.33022352287139e-18,3.18661323246478e-17,0,0,3.62470976815586e-18,1.48656960072548e-17,2.68248281199207e-17,1.55917547232883e-19,0,0,0,8.24703643737601e-18,0,5.75417441121529e-18,8.41162414947172e-18,1.80368200010454e-18,0,7.03038587064742e-17,9.98160743394137e-18,4.3575172000012e-18,2.46662017104979e-18,0,1.5815955891976e-18,6.04655283703957e-18,3.38733447796076e-18,0,0,0.00128693925090827,2.80730757460479e-18,7.17659358973365e-18,9.81747498229928e-20,2.2236298830195e-18,9.36998030484756e-18,7.34294761493837e-19,0,0,0,4.06792534793585e-18,0,0,7.23449026922509e-18,0,6.45373532977406e-18
